,Buried_Volume_C,V_occ_avg,C_charge,Pyramidalization_H_max,Bmax_2.0_min,gas_charge_H_max,gas_charge_C,Buried_Volume_H_max_MFF,num_H,Pyramidalization_C_MFF,L_cc1_min,num_C,Bmax_2.0_avg,Bmin_3.5_avg,L_ch1_avg,n_Csp3,Pyramidalization_H_max_MFF,C_n_charge_min,Bmin_2.0_avg,Bmin_3.0_avg,Local_Nucleophilicity_H_max,dual_H_max,Reactant_SMILES,Atom_nº,bde_avg,DOI
36,-0.145581474,-0.314175019,-0.048774381,0.164255973,-0.23325627,0.280584298,-0.169940574,-0.244486743,-0.39584606,-0.51135795,-0.084666331,0.029525555,-0.298832471,-0.022848084,-0.116178868,-0.506821421,0.163590939,-0.021921485,-0.05779828,-0.039174597,0.217351796,0.089469878,CCc1ccccc1,5,-0.2921714,10.1021/ja00199a039
37,-0.269412956,-0.290181974,-0.203680853,0.011286366,-0.10114004,-0.190621168,-0.156375714,-0.147162113,0.60415394,0.098683334,-0.032994599,-0.303807778,-0.050223026,-0.022155061,-0.062890909,-0.173488088,0.003579951,0.065480282,-0.054535943,-0.031773029,0.098299401,-0.080721662,CC(C)c1ccccc1,0,-0.040662,10.1021/ja00199a039
38,0.044469529,-0.290174871,0.136586119,-0.036586176,-0.010046185,-0.056409357,-0.016547459,-0.008061346,-0.39584606,0.072602739,-0.145456605,0.362858888,-0.075622387,-0.022848084,-0.088967984,0.159845245,-0.048376343,-0.084243944,-0.05779828,-0.038806449,0.140817431,-0.163611615,CC(C)c1ccccc1,1,0.2707342,10.1021/ja00199a039
39,0.024473721,-0.290179053,-0.019778585,0.164515033,-0.028594518,0.28424462,-0.156755682,-0.142373166,-0.39584606,-0.512641892,-0.084666331,0.029525555,-0.09417072,-0.022848084,-0.075362542,-0.506821421,0.163959092,-0.016939627,-0.05779828,-0.032833343,0.121884442,0.174083472,CC(C)c1ccccc1,4,-0.2638527,10.1021/ja00199a039
40,-0.130993337,-0.290180248,-0.051303263,0.164515033,-0.23325627,0.280706309,-0.16891466,-0.244245644,-0.39584606,-0.512643391,-0.084666331,0.029525555,-0.298832471,-0.022848084,-0.116178868,-0.506821421,0.163959605,-0.017175295,-0.05779828,-0.039174597,0.168409732,0.12515091,CC(C)c1ccccc1,5,-0.2811042,10.1021/ja00199a039
41,-0.146042593,-0.29017029,-0.051840506,0.164515033,-0.23325627,0.280584298,-0.169940574,-0.244841786,-0.39584606,-0.512642642,-0.078587304,0.029525555,-0.298832471,-0.022848084,-0.116178868,-0.506821421,0.163959092,-0.01891419,-0.05779828,-0.039174597,0.18971651,0.117485973,CC(C)c1ccccc1,6,-0.2927636,10.1021/ja00199a039
42,-0.382121682,-0.263152704,0.104508848,0.017555932,-0.23305969,0.336587226,0.361102818,-0.23610113,0.60415394,0.076537014,0.094664976,-0.637141112,-0.034799894,-0.008925271,-0.074228732,-0.506821421,0.012556824,-0.110572292,-0.05779828,-0.035589054,0.095877851,-0.024589712,COc1ccc(C(C)O)cc1,0,0.0297882,10.1016/S0040-4039(00)78488-7
43,-0.078621368,-0.263141418,-0.100265328,0.164038402,-0.041317855,0.328534518,-0.007922184,-0.184129487,-0.39584606,-0.511394677,-0.084666331,0.029525555,-0.106894057,-0.022848084,-0.06515846,-0.506821421,0.163599154,-0.016300798,-0.05779828,-0.037454976,0.101289323,0.186902706,COc1ccc(C(C)O)cc1,3,-0.2899985,10.1016/S0040-4039(00)78488-7
44,-0.037260367,-0.263145601,-0.049846949,0.164471013,-0.026763595,0.287050867,-0.1339196,-0.06266691,-0.39584606,-0.508783319,-0.045152653,0.029525555,-0.092339796,-0.022848084,-0.116178868,-0.506821421,0.162845904,-0.038417418,-0.05779828,-0.03784303,0.083139636,0.212480209,COc1ccc(C(C)O)cc1,4,-0.2786066,10.1016/S0040-4039(00)78488-7
45,-0.013813151,-0.263151775,0.371447846,-0.018692287,-0.018323472,0.313039154,0.355935252,-0.053733045,-0.39584606,0.079063675,-0.163693687,0.029525555,-0.083899673,-0.022848084,-0.102573426,-0.173488088,-0.036631391,-0.279515262,-0.05779828,-0.039174597,0.222433709,-0.236447919,COc1ccc(C(C)O)cc1,6,0.3389235,10.1016/S0040-4039(00)78488-7
46,-0.287955539,-0.263144605,-0.209673036,0.017164305,-0.23305969,-0.161582613,-0.065221371,-0.171666664,0.60415394,0.097116819,0.003479565,-0.303807778,-0.025856146,-0.019323863,-0.030011045,-0.173488088,0.005090559,0.168505167,-0.05779828,-0.03895179,0.034082942,-0.008738865,COc1ccc(C(C)O)cc1,7,-0.0800801,10.1016/S0040-4039(00)78488-7
47,-0.340201749,-0.276822755,-0.174353117,0.010497548,-0.23305969,-0.13803454,-0.084523749,-0.268481023,0.60415394,0.087478632,0.173692331,-0.303807778,-0.211709419,-0.022848084,-0.112777508,-0.506821421,0.008535895,0.151421747,-0.05779828,-0.039174597,0.248874937,-0.02276631,Cc1ccc(C(C)O)cc1,0,0.1892307,10.1016/S0040-4039(00)78488-7
48,-0.058639533,-0.276840481,-0.080623324,0.164316184,-0.107871933,0.284122609,-0.157439624,-0.166108182,-0.39584606,-0.511431404,-0.084666331,0.029525555,-0.173448135,-0.022848084,-0.116178868,-0.506821421,0.163609937,-0.005910354,-0.0491745,-0.039174597,0.111142693,0.158409978,Cc1ccc(C(C)O)cc1,2,-0.2831078,10.1016/S0040-4039(00)78488-7
49,0.007831507,-0.276830125,-0.02616027,0.164007538,-0.055371587,0.285464727,-0.146914508,-0.148306507,-0.39584606,-0.511737961,-0.084666331,0.029525555,-0.120947788,-0.022848084,-0.071961181,-0.506821421,0.163698252,-0.02980122,-0.05779828,-0.039174597,0.058045306,0.214419998,Cc1ccc(C(C)O)cc1,3,-0.280042,10.1016/S0040-4039(00)78488-7
50,-0.013785205,-0.276821959,0.341703746,-0.018255628,-0.018674477,0.313039154,0.355897256,-0.05013638,-0.39584606,0.078034572,-0.163693687,0.029525555,-0.084250679,-0.022848084,-0.102573426,-0.173488088,-0.043075865,-0.303796663,-0.05779828,-0.039174597,0.299512565,-0.313052956,Cc1ccc(C(C)O)cc1,5,0.3389235,10.1016/S0040-4039(00)78488-7
51,-0.287200981,-0.276826074,-0.202285939,0.017144066,-0.23305969,-0.161582613,-0.065221371,-0.166694415,0.60415394,0.097269723,0.000440052,-0.303807778,-0.055905928,-0.019669247,-0.048151657,-0.173488088,0.005219438,0.155457565,-0.05779828,-0.036595884,0.044824691,-0.011426858,Cc1ccc(C(C)O)cc1,6,-0.0800801,10.1016/S0040-4039(00)78488-7
52,-0.286935488,-0.301028045,-0.217775818,0.017128887,-0.115601429,-0.161582613,-0.065221371,-0.17270537,0.60415394,0.097135558,-0.060350222,-0.303807778,-0.055364018,-0.016159804,-0.048151657,-0.173488088,0.005073614,0.170654798,-0.054535943,-0.035672277,0.083693679,-0.04656475,CC(O)c1ccccc1,0,-0.08008,10.1016/S0040-4039(00)78488-7
53,-0.013687392,-0.301030634,0.376348273,-0.017994544,-0.096982307,0.313039154,0.355897256,-0.053675247,-0.39584606,0.078605713,-0.163693687,0.029525555,-0.162558508,-0.022848084,-0.102573426,-0.173488088,-0.036596989,-0.291667325,-0.05779828,-0.039174597,0.411429267,-0.431762497,CC(O)c1ccccc1,1,0.3430297,10.1016/S0040-4039(00)78488-7
54,0.005889217,-0.301039397,-0.021889184,0.164321244,-0.0269707,0.285342717,-0.147940422,-0.063474425,-0.39584606,-0.508778073,-0.084666331,0.029525555,-0.092546901,-0.022848084,-0.071961181,-0.506821421,0.16284385,-0.01061951,-0.05779828,-0.037533162,0.067134478,0.231251824,CC(O)c1ccccc1,4,-0.2834013,10.1016/S0040-4039(00)78488-7
55,-0.134766131,-0.301023464,-0.036895545,0.164128466,-0.23325627,0.280706309,-0.168610686,-0.244755915,-0.39584606,-0.511527343,-0.084666331,0.029525555,-0.298832471,-0.022848084,-0.116178868,-0.506821421,0.163638691,-0.012470347,-0.05779828,-0.039174597,0.180092399,0.117818508,CC(O)c1ccccc1,5,-0.2857768,10.1016/S0040-4039(00)78488-7
56,-0.145148301,-0.301023464,-0.041114825,0.164443184,-0.23325627,0.280584298,-0.169940574,-0.244486743,-0.39584606,-0.512075249,-0.081626818,0.029525555,-0.298832471,-0.022848084,-0.116178868,-0.506821421,0.163796324,-0.011805426,-0.05779828,-0.039174597,0.184271604,0.130598946,CC(O)c1ccccc1,6,-0.2927636,10.1016/S0040-4039(00)78488-7
57,-0.290317029,-0.292192028,-0.20461911,0.014265561,-0.117609945,-0.161582613,-0.065221371,-0.166415335,0.60415394,0.09719552,-0.051231681,-0.303807778,-0.034614511,-0.016149285,-0.047017848,-0.173488088,0.005224573,0.150194589,-0.05779828,-0.035512067,0.153947297,-0.134814062,CC(O)c1ccc(F)cc1,0,-0.08008,10.1016/S0040-4039(00)78488-7
58,-0.010627236,-0.292177489,0.329705949,-0.035984063,-0.098986489,0.313039154,0.355935252,-0.050511239,-0.39584606,0.077859182,-0.163693687,0.029525555,-0.16456269,-0.022848084,-0.105974787,-0.173488088,-0.042349828,-0.303934697,-0.05779828,-0.039174597,0.115489065,-0.109031496,CC(O)c1ccc(F)cc1,1,0.3389242,10.1016/S0040-4039(00)78488-7
59,0.007915347,-0.292190435,0.029904921,0.164506432,-0.025911028,0.286562824,-0.136883351,-0.053675247,-0.39584606,-0.512269377,-0.084666331,0.029525555,-0.091487229,-0.022848084,-0.06515846,-0.506821421,0.163851778,-0.028834138,-0.05779828,-0.039174597,0.082012445,0.236555761,CC(O)c1ccc(F)cc1,4,-0.2884539,10.1016/S0040-4039(00)78488-7
60,-0.088835858,-0.292211347,-0.078418707,0.164309606,-0.232087937,0.318407626,-0.03201216,-0.197564963,-0.39584606,-0.511948578,-0.081626818,0.029525555,-0.297664139,-0.022848084,-0.116178868,-0.506821421,0.163760382,0.018683307,-0.0491745,-0.039174597,0.12499377,0.183488678,CC(O)c1ccc(F)cc1,5,-0.3431765,10.1016/S0040-4039(00)78488-7
