,Buried_Volume_C_MMFF,Buried_Volume_H_max_MFF,Pyramidalization_C_MFF,Pyramidalization_H_max_MFF,Reactant_SMILES,Atom_nº,bde_avg,Reactive Atom,DOI
107,0.036973528,0.061413076,0.097678966,-0.02090864,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,5,0.0417618,16,10.1021/jo00045a004
108,0.203177099,0.199445413,0.083100636,-0.046366136,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,6,0.1160211,16,10.1021/jo00045a004
109,-0.148245198,-0.025564124,0.106101418,0.003068541,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,7,-0.0317011,16,10.1021/jo00045a004
110,0.296322515,0.196416816,0.080290653,-0.048403557,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,8,0.1572165,16,10.1021/jo00045a004
111,0.004267862,0.013933136,0.071940905,-0.011210865,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,9,0.0666513,16,10.1021/jo00045a004
112,-0.002720197,0.013807632,0.042160637,-0.006277512,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,10,0.0668662,16,10.1021/jo00045a004
113,0.310004414,0.213034465,0.041812856,-0.033288747,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,11,0.1019016,16,10.1021/jo00045a004
114,0.330490665,0.346259689,0.070870578,-0.041266421,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,12,0.0527277,16,10.1021/jo00045a004
115,0.019722251,0.003920932,0.091244263,-0.018859409,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,13,0.0106351,16,10.1021/jo00045a004
116,-0.003898508,0.030550784,0.087573072,-0.017494111,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,14,0.0534923,16,10.1021/jo00045a004
117,0.261158327,0.180481179,0.094736317,-0.052371599,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,15,-0.0294799,16,10.1021/jo00045a004
118,0.030070147,0.035234045,0.091363438,-0.018087161,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,16,0.1780112,16,10.1021/jo00045a004
119,-0.043015277,-0.032719473,0.091056132,-0.017671256,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,19,0.1769678,16,10.1021/jo00045a004
120,0.073073477,0.027253016,0.100958903,-0.022718084,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,20,0.0780875,16,10.1021/jo00045a004
121,-0.04578237,0.038601171,0.116383451,-0.002826527,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,22,-0.0223167,16,10.1021/jo00045a004
