,Reactant_SMILES,Atom_nº,bde_avg,gas_charge_C,gas_charge_H_max,Buried_Volume_C,Buried_Volume_H_max,Reactive Atom,DOI
76,c1ccc2c(c1)CCOC2,5,-0.2813238,-0.156071739,0.28424462,-0.065542349,-0.16224261,9,10.1016/S0040-4020(97)00622-4
77,c1ccc2c(c1)CCOC2,6,0.2264952,0.051846796,-0.064584077,-0.091854093,-0.115216619,9,10.1016/S0040-4020(97)00622-4
78,c1ccc2c(c1)CCOC2,7,0.0667534,0.260639257,0.216528661,-0.163257712,-0.117458434,9,10.1016/S0040-4020(97)00622-4
79,c1ccc2c(c1)CCOC2,9,0.3652048,0.339862602,0.275337836,-0.109362652,-0.122986304,9,10.1016/S0040-4020(97)00622-4
80,CC1Cc2ccccc2CO1,0,-0.0855649,-0.079052209,-0.165730978,-0.336205382,-0.21952851,9,10.1016/S0040-4020(97)00622-4
81,CC1Cc2ccccc2CO1,1,0.0906407,0.291340678,0.25776829,0.019275649,0.00111398,9,10.1016/S0040-4020(97)00622-4
82,CC1Cc2ccccc2CO1,2,0.2275303,0.061687969,-0.061045765,-0.015545842,-0.040124999,9,10.1016/S0040-4020(97)00622-4
83,CC1Cc2ccccc2CO1,4,-0.286421,-0.156033742,0.28424462,-0.065416589,-0.161814794,9,10.1016/S0040-4020(97)00622-4
84,CC1Cc2ccccc2CO1,5,-0.2914621,-0.168876663,0.280706309,-0.142842705,-0.237139489,9,10.1016/S0040-4020(97)00622-4
85,CC1Cc2ccccc2CO1,6,-0.2912924,-0.168572689,0.280706309,-0.142591185,-0.237022952,9,10.1016/S0040-4020(97)00622-4
86,CC1Cc2ccccc2CO1,7,-0.2845066,-0.147902425,0.285342717,-0.065290829,-0.161224439,9,10.1016/S0040-4020(97)00622-4
87,CC1Cc2ccccc2CO1,9,0.3544285,0.341230488,0.275459847,-0.10226421,-0.119566845,9,10.1016/S0040-4020(97)00622-4
88,c1ccc2c(c1)COC2,0,-0.2906618,-0.168572689,0.280706309,-0.14180868,-0.235236553,6,10.1016/S0040-4020(97)00622-4
89,c1ccc2c(c1)COC2,2,-0.2938456,-0.147560454,0.285342717,-0.084196719,-0.183469322,6,10.1016/S0040-4020(97)00622-4
90,c1ccc2c(c1)COC2,6,0.3570045,0.341876433,0.275581858,-0.167617385,-0.189398939,6,10.1016/S0040-4020(97)00622-4
91,c1ccc(Cc2ccccc2)cc1,0,-0.2921718,-0.169940574,0.280584298,-0.145483661,-0.237049019,4,10.1016/S0040-4020(97)00622-4
92,c1ccc(Cc2ccccc2)cc1,1,-0.2869979,-0.16891466,0.280706309,-0.133969652,-0.236450998,4,10.1016/S0040-4020(97)00622-4
93,c1ccc(Cc2ccccc2)cc1,2,-0.2900963,-0.156489704,0.28424462,-0.003472901,-0.07298707,4,10.1016/S0040-4020(97)00622-4
94,c1ccc(Cc2ccccc2)cc1,4,0.3081959,0.056786381,-0.032983296,-0.003347141,-0.061405379,4,10.1016/S0040-4020(97)00622-4
95,c1ccc2c(c1)Cc1ccccc1C2,0,-0.2904275,-0.168838667,0.280706309,-0.142954491,-0.236665672,6,10.1016/S0040-4020(97)00622-4
96,c1ccc2c(c1)Cc1ccccc1C2,2,-0.2804868,-0.155387797,0.284366631,-0.06280358,-0.162555421,6,10.1016/S0040-4020(97)00622-4
97,c1ccc2c(c1)Cc1ccccc1C2,6,0.4280131,0.058952199,-0.032739274,-0.013827125,-0.064593296,6,10.1016/S0040-4020(97)00622-4
98,c1ccc2c(c1)Cc1ccccc1O2,0,-0.3023039,-0.167888746,0.280706309,-0.142716945,-0.237352631,6,10.1016/S0040-4020(97)00622-4
99,c1ccc2c(c1)Cc1ccccc1O2,1,-0.2880171,-0.155843758,0.282292448,-0.143611237,-0.236799077,6,10.1016/S0040-4020(97)00622-4
100,c1ccc2c(c1)Cc1ccccc1O2,2,-0.3267706,-0.005642375,0.328778539,-0.083847386,-0.18041481,6,10.1016/S0040-4020(97)00622-4
101,c1ccc2c(c1)Cc1ccccc1O2,5,-0.2875186,-0.142316894,0.28595277,-0.065388642,-0.160171001,6,10.1016/S0040-4020(97)00622-4
102,c1ccc2c(c1)Cc1ccccc1O2,6,0.4661738,0.084828025,-0.029566995,-0.034228159,-0.084890774,6,10.1016/S0040-4020(97)00622-4
103,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0,-0.0549403,-0.171916408,-0.194769533,-0.192950998,0.024492037,16,10.1021/jo00045a004
104,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1,0.069784,-0.1124894,-0.116804672,0.016047814,-0.019577579,16,10.1021/jo00045a004
105,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3,0.0229184,-0.127042178,-0.150723657,-0.020059221,0.008230441,16,10.1021/jo00045a004
106,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4,0.061036,-0.13403359,-0.153773926,0.091042574,0.210665463,16,10.1021/jo00045a004
107,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,5,0.0417618,-0.12499035,-0.150479636,0.146530592,0.228820796,16,10.1021/jo00045a004
108,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,6,0.1160211,-0.088817388,-0.109606039,0.18340616,0.079234044,16,10.1021/jo00045a004
109,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,7,-0.0317011,-0.169826584,-0.194525512,-0.222225085,-0.059091494,16,10.1021/jo00045a004
110,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,8,0.1572165,-0.059369862,-0.099601158,0.310758916,0.161728869,16,10.1021/jo00045a004
111,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,9,0.0666513,-0.121000685,-0.149991593,0.058764226,0.136064528,16,10.1021/jo00045a004
112,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,10,0.0668662,-0.120924691,-0.149991593,0.001543517,0.022831376,16,10.1021/jo00045a004
113,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,11,0.1019016,-0.057280038,-0.099357137,0.299454507,0.195877455,16,10.1021/jo00045a004
114,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,12,0.0527277,-0.065145377,-0.102407405,0.315551762,0.305635946,16,10.1021/jo00045a004
115,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,13,0.0106351,-0.121798618,-0.150113603,0.012792033,-0.000903961,16,10.1021/jo00045a004
116,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,14,0.0534923,-0.120392736,-0.149991593,-0.007692841,0.027698355,16,10.1021/jo00045a004
117,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,15,-0.0294799,-0.042879247,-0.097526976,0.252336503,0.164640776,16,10.1021/jo00045a004
118,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,16,0.1780112,0.102458544,-0.052627025,0.026416011,0.033100486,16,10.1021/jo00045a004
119,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,19,0.1769678,0.091743444,-0.056165336,-0.043408624,-0.025605333,16,10.1021/jo00045a004
120,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,20,0.0780875,-0.086841554,-0.141450841,0.069118449,0.022679571,16,10.1021/jo00045a004
121,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,22,-0.0223167,-0.157895586,-0.1909872,-0.045071448,0.035288633,16,10.1021/jo00045a004
122,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,23,0.0608436,-0.057166047,-0.099357137,0.33297648,0.217702188,16,10.1021/jo00045a004
123,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,24,0.0381157,-0.119974771,-0.149869582,0.095136754,0.147699888,16,10.1021/jo00045a004
124,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,25,0.0581787,-0.112071435,-0.146819314,0.051023012,0.005971758,16,10.1021/jo00045a004
125,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,27,-0.0180829,-0.157933583,-0.1909872,0.052448289,0.218836896,16,10.1021/jo00045a004
126,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,0,0.0158347,0.195626718,-0.053969143,-0.370901113,-0.269046259,18,10.1021/jo00045a004
127,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,4,0.0267379,0.454460976,0.4283393,0.147508724,0.116418741,18,10.1021/jo00045a004
128,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,5,0.0310769,0.008796412,-0.107531856,0.035973756,0.047736689,18,10.1021/jo00045a004
129,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,6,0.0675897,-0.099836463,-0.145233174,0.074470227,0.032413528,18,10.1021/jo00045a004
130,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,8,0.0238967,-0.15797158,-0.1909872,-0.046063553,0.035993992,18,10.1021/jo00045a004
131,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,9,0.0650138,-0.055798162,-0.101187298,0.251679757,0.161140048,18,10.1021/jo00045a004
132,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,10,0.0622905,-0.121494644,-0.150113603,-0.007385428,0.027581817,18,10.1021/jo00045a004
