,C_spX,n_Csp3,num_C,num_H,num_N,num_O,Reactant_SMILES,Atom_nº,bde_avg,Reactive Atom,DOI
87,-0.135613928,-0.506821421,-0.303807778,0.10415394,-0.015271839,0.436774588,CC1Cc2ccccc2CO1,9,0.3544285,9,10.1016/S0040-4020(97)00622-4
88,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,c1ccc2c(c1)COC2,0,-0.2906618,6,10.1016/S0040-4020(97)00622-4
89,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,c1ccc2c(c1)COC2,2,-0.2938456,6,10.1016/S0040-4020(97)00622-4
90,-0.135613928,-0.506821421,-0.303807778,0.10415394,-0.015271839,0.436774588,c1ccc2c(c1)COC2,6,0.3570045,6,10.1016/S0040-4020(97)00622-4
91,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,c1ccc(Cc2ccccc2)cc1,0,-0.2921718,4,10.1016/S0040-4020(97)00622-4
92,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,c1ccc(Cc2ccccc2)cc1,1,-0.2869979,4,10.1016/S0040-4020(97)00622-4
93,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,c1ccc(Cc2ccccc2)cc1,2,-0.2900963,4,10.1016/S0040-4020(97)00622-4
94,-0.135613928,-0.506821421,0.029525555,0.10415394,-0.015271839,-0.063225412,c1ccc(Cc2ccccc2)cc1,4,0.3081959,4,10.1016/S0040-4020(97)00622-4
95,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,c1ccc2c(c1)Cc1ccccc1C2,0,-0.2904275,6,10.1016/S0040-4020(97)00622-4
96,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,c1ccc2c(c1)Cc1ccccc1C2,2,-0.2804868,6,10.1016/S0040-4020(97)00622-4
97,-0.135613928,-0.506821421,0.029525555,0.10415394,-0.015271839,-0.063225412,c1ccc2c(c1)Cc1ccccc1C2,6,0.4280131,6,10.1016/S0040-4020(97)00622-4
98,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,c1ccc2c(c1)Cc1ccccc1O2,0,-0.3023039,6,10.1016/S0040-4020(97)00622-4
99,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,c1ccc2c(c1)Cc1ccccc1O2,1,-0.2880171,6,10.1016/S0040-4020(97)00622-4
100,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,c1ccc2c(c1)Cc1ccccc1O2,2,-0.3267706,6,10.1016/S0040-4020(97)00622-4
101,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,c1ccc2c(c1)Cc1ccccc1O2,5,-0.2875186,6,10.1016/S0040-4020(97)00622-4
102,-0.135613928,-0.506821421,0.029525555,0.10415394,-0.015271839,-0.063225412,c1ccc2c(c1)Cc1ccccc1O2,6,0.4661738,6,10.1016/S0040-4020(97)00622-4
103,-0.135613928,-0.173488088,-0.303807778,0.60415394,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0,-0.0549403,16,10.1021/jo00045a004
104,-0.135613928,0.493178579,0.362858888,-0.39584606,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1,0.069784,16,10.1021/jo00045a004
105,-0.135613928,0.159845245,0.029525555,0.10415394,-0.015271839,-0.063225412,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3,0.0229184,16,10.1021/jo00045a004
