,Bmax_2.0_avg,Bmax_2.0_min,Bmax_4.0_min,Bmax_4.5_min,Bmin_2.0_avg,Bmin_3.0_avg,Bmin_3.5_avg,Bmin_4.0_avg,Bmin_4.0_min,Bmin_4.5_min,S_bur_2.0_avg,V_occ_avg,Reactant_SMILES,Atom_nº,bde_avg,Reactive Atom,DOI
458,0.031599604,-0.139357984,-0.11366736,-0.090728522,-0.05779828,-0.033649264,-0.013384459,-0.001541257,-0.008671578,-0.007199076,-0.398013353,0.433421075,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,26,0.0157683,7,10.1002/047084289X.rm267.pub3
459,0.379671205,0.430267791,0.409892781,0.447139592,0.472558281,0.118131444,0.131708682,0.155410432,-0.001834721,0.001331523,0.188945382,0.433426121,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,28,-0.0107567,7,10.1002/047084289X.rm267.pub3
460,0.213501525,0.165415565,0.284784097,0.298927419,-0.052964309,0.015853773,-0.0136249,-0.005886282,-0.002297214,-0.005561854,-0.103010506,0.433414238,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,30,-0.0369015,7,10.1002/047084289X.rm267.pub3
461,0.110184037,0.175760239,0.263851733,0.287895047,0.540705984,0.212656668,0.173617627,-0.013061362,-0.005552832,-0.003307701,0.40646669,0.433443449,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,31,0.0211726,7,10.1002/047084289X.rm267.pub3
462,0.11495999,0.090269931,0.300771127,0.348489446,0.256187408,0.169960887,0.132903376,-0.007416786,-0.000339095,7.61E-05,0.132228902,0.433415865,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,32,0.0343174,7,10.1002/047084289X.rm267.pub3
463,0.169720434,0.234235983,0.337781435,0.379479099,0.122876026,0.165751051,0.095049376,0.020205851,0.008655474,0.014420527,0.042678951,0.433405806,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,33,0.0569913,7,10.1002/047084289X.rm267.pub3
464,0.108517497,0.14243408,0.304345435,0.352277463,0.090668904,0.170182734,0.161555231,0.196706196,-0.007183865,-0.005935595,-0.001358388,0.433416362,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,35,-0.0186096,7,10.1002/047084289X.rm267.pub3
465,-0.025027984,0.040548217,0.295798077,0.559421385,0.407086645,0.366958288,0.108110105,-0.014601831,-0.007093301,-0.002169288,0.484605345,0.433415366,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,36,0.0442309,7,10.1002/047084289X.rm267.pub3
466,0.338893497,0.09930232,0.104394597,0.077985842,-0.051273362,-0.034298978,-0.006485793,-0.010576271,-0.008086282,0.000982283,-0.4110387,0.433379982,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,39,0.0156225,7,10.1002/047084289X.rm267.pub3
467,0.43203374,0.497609941,0.727253145,0.796876383,0.202689841,-0.000343527,0.010835008,-0.014942692,-0.007434162,-0.006086994,0.392113492,0.433377126,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,41,0.0663538,7,10.1002/047084289X.rm267.pub3
