,Bmax_cc1_avg,Bmax_ch1_avg,Bmin_cc1_avg,Bmin_ch1_avg,C_charge,C_n_charge_avg,C_n_charge_max,C_n_charge_min,H_charge_avg,L_cc1_avg,L_cc1_max,L_cc1_min,L_cc2_avg,L_cc2_min,L_ch1_avg,L_ch1_min,L_ch2_avg,L_ch2_max,L_ch2_min,OccV_cc1_avg,Vbur_cc1_avg,Vbur_cc2_avg,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
20,-0.20195843384351594,-0.2017098242042505,-0.09353257262916588,-0.09832454041266629,-0.06645544671229028,-0.034821836552193224,-0.052587580827823326,-0.016976660425248244,-0.07578062164760585,-0.09896371460138614,-0.11878158493919029,-0.08162681753448468,-0.10091641853564887,-0.07696610048473207,-0.11617886813858098,-0.06910974530313038,-0.1377923002054011,-0.15143664368618548,-0.11192695323289199,-0.26079312523873066,-0.0420188082992812,-0.036131896035418755,C1CC[C@H]2CCCC[C@@H]2C1,2,10.843373493975903,3,10.1021/ja00199a039
21,-0.2468505441305254,-0.26925879767612976,-0.016781482736361947,0.07716257023609903,0.11961690079211801,-0.053880356509823105,-0.0614073065496477,-0.023586312217042108,0.08111811252960939,-0.1709801960828676,-0.24908461524222056,-0.09682438592354244,-0.0418335613927917,-0.07696610048473207,-0.07536254160796874,-0.028293418772518134,-0.23007417940003197,-0.273460453209995,-0.15813157369493822,-0.2607896382033679,0.1758819062663623,-0.032191618431389686,C1CC[C@H]2CCCC[C@@H]2C1,3,79.51807228915662,3,10.1021/ja00199a039
22,-0.14295377181192967,-0.22825348200882,-0.1632096207208137,-0.1090128464478915,-0.0245178398632039,-0.06561246090898575,-0.12332017885454365,-0.011379540290850036,-0.11752323768136112,-0.13908717139150956,-0.21878158493919025,-0.06035022178980386,-0.19880001641924674,-0.08995311347174513,-0.09577070487327484,-0.06910974530313038,-0.06732250154768298,-0.04131759606713784,-0.09542530306787549,-0.26075346359965945,-0.08550993133105199,-0.11665756988418037,C1CC[C@H]2CCCC[C@H]2C1,0,0.7342143906020557,3,10.1021/ja00199a039
23,-0.1982616766183664,-0.22655397494417556,-0.11561652130704439,-0.09314033227558714,-0.06781774258376633,-0.031705323753305675,-0.05304641048965234,-0.011379540290850036,-0.08137977776574928,-0.12211186274953428,-0.1521149182725236,-0.0937848722457309,-0.18028149790072823,-0.0704725939912256,-0.09577070487327484,-0.05210294258204195,-0.08242317268862255,-0.13953188178142356,-0.016217382275796263,-0.2607558552562869,-0.018391567035537532,-0.01125308028019528,C1CC[C@H]2CCCC[C@H]2C1,2,0.978952520802741,3,10.1021/ja00199a039
24,-0.24657093833878346,-0.28540952169124717,-0.10427754521309474,0.07882014224735706,0.11877074237053922,-0.0535881834349274,-0.04591738363511175,-0.02485387055123816,-0.039881887470390655,-0.16480735657669476,-0.24605431221191754,-0.08466633121229622,-0.10003461959384999,-0.0704725939912256,-0.11617886813858098,-0.06910974530313038,-0.1394701525543944,-0.19310331035285216,-0.06902266280384912,-0.2607572838725123,0.14549090485169944,-0.004026292592155472,C1CC[C@H]2CCCC[C@H]2C1,3,98.2868330885952,3,10.1021/ja00199a039
25,-0.25538288961915,-0.29257416269663744,-0.17760016030127485,-0.10707971952971966,-0.1119714786322257,-0.0535068569089255,-0.08247497508111187,-0.024125824097666056,-0.010329144854356912,-0.17612420842854665,-0.2521149182725236,-0.09986389960135397,-0.2411280587472891,-0.16138168490031654,-0.11107682732225443,-0.06910974530313038,-0.1394701525543944,-0.1722699770195188,-0.0921249730348722,-0.3309394175970403,-0.09546981017538146,-0.13511627916449923,C1CC2CCC1C2,0,100.0,0,10.1021/ja00199a039
26,-0.2628029761952053,-0.3751551910121429,-0.14746607314530524,0.08023376649652832,0.06624368352895123,-0.10840728211613244,-0.15415228361336675,-0.05828424868930776,0.03819406189669799,-0.2039019862063244,-0.27938764554525086,-0.1241800090238464,-0.20761832329755367,-0.11592713944577107,-0.11617886813858098,-0.06910974530313038,-0.14282585725238095,-0.19607950082904263,-0.07232299283685241,-0.33093108028203716,-0.025643331604326046,-0.16283315857520905,C1CC2CCC1C2,2,0.0,0,10.1021/ja00199a039
27,-0.26607840962457935,-0.309417342928908,-0.136780282729271,-0.11480331780587871,-0.14555494995397886,-0.01846616854514492,-0.0815292241455051,0.03385865715029815,0.03157802814142373,-0.1853834676878059,-0.2672664334240387,-0.10290341327916554,-0.2464190640382944,-0.14190116541979703,-0.11617886813858098,-0.06910974530313038,-0.1562486760443273,-0.20798426273380455,-0.08552431296886562,-0.3309342356743476,-0.060443993335558985,-0.09362231638622008,C1CC2CCC1C2,6,0.0,0,10.1021/ja00199a039
28,-0.24873195835890527,-0.2824871849255882,-0.1590914145677773,-0.10230534363294647,-0.06838760437789079,-0.04241030424999991,-0.06457957783970815,-0.01999826362562263,-0.0513080478079434,-0.16686494916928735,-0.24908461524222056,-0.08466633121229622,-0.20938202700125738,-0.11592713944577107,-0.11107682732225443,-0.06910974530313038,-0.11262451497050176,-0.1573890246385664,-0.0558213426718359,-0.3087246154629307,-0.051467450528038215,-0.07790842791473053,C1CC2CCC1CC2,0,19.444444444444443,2,10.1021/ja00199a039
29,-0.24871831321324664,-0.37703809767262464,-0.12160646579308004,0.10446074907059717,0.08767394069587468,-0.0805514409137047,-0.1404706281642703,-0.020357657655305027,-0.05786500983325986,-0.1853834676878059,-0.2672664334240387,-0.10290341327916554,-0.19350901112824148,-0.07696610048473207,-0.11617886813858098,-0.06910974530313038,-0.0924902867825823,-0.15143664368618548,-0.0228180423418029,-0.3087032228916174,0.02665628960823846,-0.12436580407589565,C1CC2CCC1CC2,2,80.55555555555556,2,10.1021/ja00199a039
30,-0.2204087055764177,-0.26821520363570306,-0.12392057037642526,-0.09840027028315763,-0.07599151781262241,-0.002205883500691438,-0.06256218392976154,0.04577673551166338,-0.05070889168979993,-0.16686494916928735,-0.24908461524222056,-0.08466633121229622,-0.19350901112824148,-0.07696610048473207,-0.11617886813858098,-0.06910974530313038,-0.0924902867825823,-0.15143664368618548,-0.0228180423418029,-0.2762757137209814,0.016892754099363437,0.01588333333721795,C1C2CC3CC1CC(C2)C3,0,93.02325581395348,0,10.1021/ja00199a039
