,Buried_Volume_C,Buried_Volume_H_max,Local_Electrophilicity_C,Local_Electrophilicity_H_max,Local_Nucleophilicity_C,Local_Nucleophilicity_H_max,Pyramidalization_C,Pyramidalization_H_max,Radical_H_max,charge_C,charge_H_max,dual_C,dual_H_max,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
61,0.31479,0.38126,-0.01312,0.040321,0.00091,0.060276,0.78648,1.70327,0.052407,-0.11895,0.054192,-0.01662,-0.015738,CC(O)c1ccc(Cl)cc1,0,2.912621359223301,1,10.1016/S0040-4039(00)78488-7
62,0.51462,0.446969,-0.00514,0.037906,0.00387,0.055066,0.78753,1.604616,0.048516,0.11175,0.049526,-0.01024,-0.0131,CC(O)c1ccc(Cl)cc1,1,97.0873786407767,1,10.1016/S0040-4039(00)78488-7
63,0.52874,0.442613,0.04307,0.078002,0.01925,0.053344,0.00036,1.999847,0.071634,-0.02923,0.039923,0.03101,0.036579,CC(O)c1ccc(Cl)cc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
64,0.48397,0.383235,0.04196,0.077708,0.02666,0.05744,0.00133,1.999443,0.073385,-0.04001,0.056356,0.02184,0.031889,CC(O)c1ccc(Cl)cc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
65,0.31742,0.383136,-0.01343,0.041666,-0.01328,0.04777,0.77657,1.708812,0.046577,-0.10927,0.05983,-0.00144,-0.002386,CC(O)c1ccc(Br)cc1,0,2.9411764705882355,1,10.1016/S0040-4039(00)78488-7
66,0.51254,0.442473,-0.00677,0.043672,-0.00346,0.1006,0.74362,1.640656,0.072978,0.11983,0.016101,-0.0041,-0.055244,CC(O)c1ccc(Br)cc1,1,97.05882352941177,1,10.1016/S0040-4039(00)78488-7
67,0.52894,0.444547,0.03894,0.079003,0.02097,0.051048,0.00102,1.999571,0.069416,-0.03151,0.05822,0.02248,0.036737,CC(O)c1ccc(Br)cc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
68,0.48859,0.39027,0.043,0.079174,0.02375,0.05783,0.00197,1.99918,0.072756,-0.03566,0.054442,0.0242,0.029852,CC(O)c1ccc(Br)cc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
69,0.31755,0.383136,-0.01288,0.043126,-0.01577,0.05677,0.7767,1.708766,0.049849,-0.10868,0.060097,0.00296,-0.013842,CC(O)c1ccc(C#N)cc1,0,1.9801980198019802,1,10.1016/S0040-4039(00)78488-7
70,0.51243,0.4422,-0.00696,0.043002,-0.00056,0.111597,0.74194,1.641689,0.077276,0.11966,0.016392,-0.00634,-0.068642,CC(O)c1ccc(C#N)cc1,1,98.01980198019803,1,10.1016/S0040-4039(00)78488-7
71,0.52871,0.44443,0.02617,0.077303,0.01976,0.046432,0.00022,1.999909,0.061614,-0.02993,0.054751,0.00625,0.030364,CC(O)c1ccc(C#N)cc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
72,0.48004,0.380247,0.03917,0.07611,0.02298,0.062025,0.00171,1.999282,0.06884,-0.02107,0.044114,0.01593,0.01363,CC(O)c1ccc(C#N)cc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
73,0.42002,0.328556,0.04483,0.074473,0.04046,0.075837,0.00129,1.99946,0.08495,-0.03308,0.032138,0.01671,0.018227,c1ccc2c(c1)CCOC2,0,0.0,9,10.1016/S0040-4020(97)00622-4
74,0.42062,0.328801,0.04226,0.073618,0.03655,0.070571,0.00062,1.99974,0.082012,-0.03262,0.032442,0.01753,0.022883,c1ccc2c(c1)CCOC2,1,0.0,9,10.1016/S0040-4020(97)00622-4
75,0.47608,0.37832,0.04172,0.072072,0.02602,0.06042,0.00116,1.999512,0.076419,-0.04114,0.028121,0.02843,0.031998,c1ccc2c(c1)CCOC2,2,0.0,9,10.1016/S0040-4020(97)00622-4
76,0.47554,0.377481,0.04175,0.071915,0.02767,0.061925,0.00102,1.999573,0.076983,-0.04049,0.030763,0.02664,0.030115,c1ccc2c(c1)CCOC2,5,0.0,9,10.1016/S0040-4020(97)00622-4
77,0.45671,0.408149,-0.01339,0.043872,-0.00512,0.066692,0.77754,1.66307,0.058727,-0.06902,0.053501,-0.01271,-0.010786,c1ccc2c(c1)CCOC2,6,0.0,9,10.1016/S0040-4020(97)00622-4
78,0.40561,0.406687,-0.01444,0.039892,-0.02069,0.062808,0.79982,1.666106,0.055411,0.08459,0.044512,0.0031,-0.014794,c1ccc2c(c1)CCOC2,7,0.0,9,10.1016/S0040-4020(97)00622-4
79,0.44418,0.403082,-0.01574,0.049739,-0.01989,0.114671,0.81293,1.659016,0.085325,0.08131,0.053285,0.00042,-0.02141,c1ccc2c(c1)CCOC2,9,100.0,9,10.1016/S0040-4020(97)00622-4
80,0.28184,0.340122,-0.01111,0.023545,-0.0183,0.046206,0.78224,1.7061,0.03677,-0.1142,0.053456,0.00502,-0.018044,CC1Cc2ccccc2CO1,0,0.0,9,10.1016/S0040-4020(97)00622-4
81,0.53624,0.484014,-0.00475,0.019398,-0.00557,0.065242,0.78844,1.620265,0.042436,0.12283,0.00977,-0.00034,-0.045612,CC1Cc2ccccc2CO1,1,0.0,9,10.1016/S0040-4020(97)00622-4
82,0.51132,0.45712,-0.01355,0.042554,-0.00116,0.06183,0.78023,1.66135,0.055177,-0.07188,0.0529,-0.01727,-0.006188,CC1Cc2ccccc2CO1,2,0.0,9,10.1016/S0040-4020(97)00622-4
83,0.47563,0.37776,0.04166,0.071321,0.02623,0.057684,0.00053,1.999776,0.074613,-0.04055,0.030428,0.02804,0.033857,CC1Cc2ccccc2CO1,4,0.0,9,10.1016/S0040-4020(97)00622-4
84,0.42022,0.328637,0.04432,0.073911,0.03655,0.073071,0.00092,1.999614,0.083262,-0.03335,0.03161,0.02026,0.020383,CC1Cc2ccccc2CO1,5,0.0,9,10.1016/S0040-4020(97)00622-4
85,0.4204,0.328713,0.04205,0.073099,0.03396,0.067505,0.00089,1.999627,0.080219,-0.03292,0.031926,0.02002,0.025428,CC1Cc2ccccc2CO1,6,0.0,9,10.1016/S0040-4020(97)00622-4
86,0.47572,0.378145,0.04166,0.071557,0.02448,0.057177,0.00141,1.999408,0.074548,-0.04108,0.027737,0.02997,0.034742,CC1Cc2ccccc2CO1,7,0.0,9,10.1016/S0040-4020(97)00622-4
87,0.44926,0.405312,-0.01523,0.048279,-0.01923,0.103159,0.81208,1.659999,0.079155,0.08264,0.052145,0.00041,-0.016786,CC1Cc2ccccc2CO1,9,100.0,9,10.1016/S0040-4020(97)00622-4
88,0.42096,0.329878,0.04454,0.076957,0.04199,0.067599,0.0,2.0,0.081371,-0.03126,0.036532,0.01281,0.027544,c1ccc2c(c1)COC2,0,0.0,6,10.1016/S0040-4020(97)00622-4
89,0.46219,0.363638,0.04659,0.076429,0.01581,0.056939,0.0,2.0,0.07619,-0.03789,0.033817,0.04413,0.038502,c1ccc2c(c1)COC2,2,0.0,6,10.1016/S0040-4020(97)00622-4
90,0.40249,0.359771,-0.01781,0.054753,-0.02602,0.11719,0.78632,1.665508,0.089218,0.07976,0.041449,0.00498,-0.055944,c1ccc2c(c1)COC2,6,100.0,6,10.1016/S0040-4020(97)00622-4
91,0.41833,0.328696,0.03968,0.059252,0.04625,0.066758,0.00147,1.999385,0.065515,-0.03339,0.028068,-0.00327,-0.002485,c1ccc(Cc2ccccc2)cc1,0,0.0,4,10.1016/S0040-4020(97)00622-4
92,0.42657,0.329086,0.02521,0.054325,0.02362,0.058001,0.00117,1.999512,0.058531,-0.0305,0.028587,0.00393,0.00106,c1ccc(Cc2ccccc2)cc1,1,0.0,4,10.1016/S0040-4020(97)00622-4
93,0.51996,0.435689,0.0206,0.044611,0.02035,0.047451,0.00401,1.998315,0.04798,-0.03712,0.02868,0.00211,0.001056,c1ccc(Cc2ccccc2)cc1,2,0.0,4,10.1016/S0040-4020(97)00622-4
94,0.52005,0.443242,-0.0148,0.041094,-0.00433,0.046447,0.77027,1.666247,0.045508,-0.06675,0.041905,-0.01224,-0.001878,c1ccc(Cc2ccccc2)cc1,4,100.0,4,10.1016/S0040-4020(97)00622-4
95,0.42014,0.328946,0.02905,0.055538,0.03597,0.058306,0.00341,1.998574,0.05981,-0.03505,0.027899,-0.00416,0.003009,c1ccc2c(c1)Cc1ccccc1C2,0,0.0,6,10.1016/S0040-4020(97)00622-4
96,0.4775,0.377277,0.02912,0.050649,0.01583,0.048277,0.00148,1.999378,0.052215,-0.04023,0.026906,0.01704,0.007876,c1ccc2c(c1)Cc1ccccc1C2,2,0.0,6,10.1016/S0040-4020(97)00622-4
97,0.51255,0.441163,-0.01397,0.047299,-0.01278,0.080054,0.77889,1.66211,0.065402,-0.06301,0.049555,-0.00274,-0.012686,c1ccc2c(c1)Cc1ccccc1C2,6,100.0,6,10.1016/S0040-4020(97)00622-4
98,0.42031,0.328498,0.04114,0.063335,0.04347,0.060605,0.0,2.0,0.063005,-0.04032,0.034298,-0.00105,0.004801,c1ccc2c(c1)Cc1ccccc1O2,0,0.0,6,10.1016/S0040-4020(97)00622-4
99,0.41967,0.328859,0.03066,0.06106,0.02646,0.057388,0.0,2.0,0.060231,-0.03297,0.037128,0.00526,0.005684,c1ccc2c(c1)Cc1ccccc1O2,1,0.0,6,10.1016/S0040-4020(97)00622-4
100,0.46244,0.36563,0.02843,0.054653,0.02313,0.04969,0.0,2.0,0.053085,-0.05454,0.047873,0.00629,0.006791,c1ccc2c(c1)Cc1ccccc1O2,2,0.0,6,10.1016/S0040-4020(97)00622-4
101,0.47565,0.378832,0.02443,0.054942,0.0128,0.048784,0.0,2.0,0.052791,-0.04191,0.033009,0.0126,0.008014,c1ccc2c(c1)Cc1ccccc1O2,5,0.0,6,10.1016/S0040-4020(97)00622-4
102,0.49795,0.427926,-0.01515,0.044416,-0.01734,0.073234,0.79599,1.65042,0.059312,-0.05447,0.047117,0.00174,-0.027841,c1ccc2c(c1)Cc1ccccc1O2,6,100.0,6,10.1016/S0040-4020(97)00622-4
