,Buried_Volume_C_MMFF,Buried_Volume_H_max_MFF,Pyramidalization_C_MFF,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
91,0.09795974650673381,0.03017108174859304,-0.39009910629606603,CCOC(=O)c1ccc2c(ccn2C)c1,6,0.0,11,10.1021/jacs.7b04490
92,0.07621022672328807,0.001539306360459128,-0.39008222843511786,CCOC(=O)c1ccc2c(ccn2C)c1,7,0.0,11,10.1021/jacs.7b04490
93,-0.030647874589949737,-0.14506288894516717,-0.39016661773985856,CCOC(=O)c1ccc2c(ccn2C)c1,10,0.0,11,10.1021/jacs.7b04490
94,-0.026317160843301025,-0.11746563041484034,-0.39014612319442155,CCOC(=O)c1ccc2c(ccn2C)c1,11,100.0,11,10.1021/jacs.7b04490
95,-0.2920554395921731,-0.15061581031427915,0.5151317044802071,CCOC(=O)c1ccc2c(ccn2C)c1,13,0.0,11,10.1021/jacs.7b04490
96,0.17593289128395226,0.13882324320421918,-0.38999060576139954,CCOC(=O)c1ccc2c(ccn2C)c1,14,0.0,11,10.1021/jacs.7b04490
97,-0.2776129613241634,0.17748070402316093,0.581008406883735,CCOC(=O)c1cccnc1C(=O)OCC,0,0.0,7,10.1021/jacs.7b04490
98,-0.08235810979918759,0.0364618570530529,0.5670504158796348,CCOC(=O)c1cccnc1C(=O)OCC,1,0.0,7,10.1021/jacs.7b04490
99,0.09902258890897911,0.042339332730496594,-0.37351901903752494,CCOC(=O)c1cccnc1C(=O)OCC,6,0.0,7,10.1021/jacs.7b04490
100,-0.06038347409026617,-0.19302339474277197,-0.37919480256208044,CCOC(=O)c1cccnc1C(=O)OCC,7,100.0,7,10.1021/jacs.7b04490
101,-0.07535183792188685,-0.215351716923777,-0.3896421984889703,CCOC(=O)c1cccnc1C(=O)OCC,8,0.0,7,10.1021/jacs.7b04490
102,-0.02985258800076967,0.023910733410539304,0.5738280826118037,CCOC(=O)c1cccnc1C(=O)OCC,14,0.0,7,10.1021/jacs.7b04490
103,-0.20736572130076616,0.12703786488292554,0.5825852813208885,CCOC(=O)c1cccnc1C(=O)OCC,15,0.0,7,10.1021/jacs.7b04490
104,-0.32466957059857043,-0.08887695989578157,0.5811795966162089,CCOC(=O)c1cccc2cc[nH]c12,0,0.0,11,10.1021/jacs.7b04490
105,-0.07727454935094856,0.01937711541603134,0.5695121724550686,CCOC(=O)c1cccc2cc[nH]c12,1,0.0,11,10.1021/jacs.7b04490
106,0.09304779082135742,0.02723234390987126,-0.39016179549387336,CCOC(=O)c1cccc2cc[nH]c12,6,0.0,11,10.1021/jacs.7b04490
107,-0.047014909499525075,-0.18739947711871235,-0.3900135114298291,CCOC(=O)c1cccc2cc[nH]c12,7,0.0,11,10.1021/jacs.7b04490
108,0.02123396538215065,-0.10631668280754081,-0.3898676384887775,CCOC(=O)c1cccc2cc[nH]c12,8,0.0,11,10.1021/jacs.7b04490
109,-0.037999201205479394,-0.14509331591157315,-0.3900183336758143,CCOC(=O)c1cccc2cc[nH]c12,10,0.0,11,10.1021/jacs.7b04490
110,-0.12871538353461734,-0.2453577769612529,-0.39014612319442155,CCOC(=O)c1cccc2cc[nH]c12,11,100.0,11,10.1021/jacs.7b04490
111,-0.38490099715080933,-0.246567248875895,0.5803923649591284,CCCCCCN(CCCCCC)C(=O)c1ccccc1,0,0.0,18,10.1038/nchem.2322
112,-0.1035060903063627,-0.04264318444172255,0.569374738444491,CCCCCCN(CCCCCC)C(=O)c1ccccc1,1,0.0,18,10.1038/nchem.2322
113,0.05153604512116387,0.1940481872312788,0.5650696783412227,CCCCCCN(CCCCCC)C(=O)c1ccccc1,2,0.0,18,10.1038/nchem.2322
114,0.027734649033383338,0.18833552428853476,0.568004015023204,CCCCCCN(CCCCCC)C(=O)c1ccccc1,3,0.0,18,10.1038/nchem.2322
115,0.19415805518495274,0.4388179184850982,0.5660437720302288,CCCCCCN(CCCCCC)C(=O)c1ccccc1,4,0.0,18,10.1038/nchem.2322
116,0.2821340969458021,0.5214955929520556,0.5894545707267758,CCCCCCN(CCCCCC)C(=O)c1ccccc1,5,0.0,18,10.1038/nchem.2322
117,0.20578473917201412,0.2487153035408934,-0.3776034613869714,CCCCCCN(CCCCCC)C(=O)c1ccccc1,16,0.0,18,10.1038/nchem.2322
118,-0.018366140164004483,-0.17471396770790523,-0.3796601492996502,CCCCCCN(CCCCCC)C(=O)c1ccccc1,17,48.888888888888886,18,10.1038/nchem.2322
119,-0.051592881721696064,-0.18694053704208713,-0.3770187640612685,CCCCCCN(CCCCCC)C(=O)c1ccccc1,18,51.111111111111114,18,10.1038/nchem.2322
120,-0.281201899644245,-0.010377922148594258,0.5832182011064432,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,0,0.0,18,10.1038/nchem.2322
121,-0.08559276731852082,-0.048459806186354135,0.5826949874170513,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,1,0.0,18,10.1038/nchem.2322
122,-0.012315688363722948,0.07432314558436859,0.5918849827033058,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,2,0.0,18,10.1038/nchem.2322
123,0.15392504174996063,0.31051247231166945,0.569685773310535,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,3,0.0,18,10.1038/nchem.2322
124,0.17624288698460702,0.31042372699298504,0.5671444496763458,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,4,0.0,18,10.1038/nchem.2322
125,0.18196120053418688,0.2672326481795353,0.5801114691304917,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,5,0.0,18,10.1038/nchem.2322
126,0.15015158217948907,0.12926917575270583,-0.3846885463006954,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,16,0.0,18,10.1038/nchem.2322
127,-0.03837562455627455,-0.189496402220199,-0.3843003554988885,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,17,32.5,18,10.1038/nchem.2322
128,-0.04164165068817402,-0.18697096400849325,-0.383369662023749,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,18,67.5,18,10.1038/nchem.2322
129,0.12924163408531678,0.05771002192664153,-0.3886644881154754,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,19,0.0,18,10.1038/nchem.2322
130,-0.3245939168859107,-0.1334271098753702,0.5573251512890255,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,22,0.0,18,10.1038/nchem.2322
131,-0.38502831681357835,-0.2465393574900228,0.5803815149056617,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,0,0.0,18,10.1038/nchem.2322
132,-0.10070136730043767,-0.00887178731149253,0.5693626828295282,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,1,0.0,18,10.1038/nchem.2322
133,0.0057267994993918225,0.07795409690882905,0.5606175397354063,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,2,0.0,18,10.1038/nchem.2322
134,0.1814980521957085,0.4779926377329435,0.5547199328955326,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,3,0.0,18,10.1038/nchem.2322
135,0.08712650389634867,0.18077442313662054,0.5743175405792994,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,4,0.0,18,10.1038/nchem.2322
136,0.27538615481904705,0.5637865406759918,0.5742524402584994,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,5,0.0,18,10.1038/nchem.2322
137,0.22141922471754208,0.24269076419248706,-0.38412313795893316,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,16,0.0,18,10.1038/nchem.2322
138,-0.011939265012927787,-0.1681290650615198,-0.38029548020819753,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,17,31.95876288659794,18,10.1038/nchem.2322
139,-0.048690362453064406,-0.18787109509800684,-0.3775371555046752,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,18,68.04123711340206,18,10.1038/nchem.2322
140,0.08249502051156464,-0.02595652894851409,-0.38187717689133616,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,19,0.0,18,10.1038/nchem.2322
141,-0.3035418874289383,-0.04810736049215022,0.584044010731405,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,0,0.0,18,10.1038/nchem.2322
142,-0.05654543208215826,0.06091499572141668,0.5813917754395567,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,1,0.0,18,10.1038/nchem.2322
143,0.03080692785237358,0.12324463640429921,0.5902490357528338,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,2,0.0,18,10.1038/nchem.2322
144,0.28277992132216656,0.5949006494067564,0.563823127754054,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,3,0.0,18,10.1038/nchem.2322
145,0.2898710729746465,0.6329977469277192,0.579081919612656,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,4,0.0,18,10.1038/nchem.2322
146,0.27984603344096853,0.38116895946768614,0.6010761835510566,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,5,0.0,18,10.1038/nchem.2322
147,0.2283830567072531,0.2573388129364873,-0.3896554596654296,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,16,0.0,18,10.1038/nchem.2322
148,-0.004761388372764515,-0.16972394521730585,-0.38070778223993024,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,17,38.38383838383838,18,10.1038/nchem.2322
149,-0.03901960372013494,-0.18825396775861689,-0.37233033540217836,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,18,61.61616161616162,18,10.1038/nchem.2322
150,0.0838715490394726,-0.04419242414789941,-0.37521042181682646,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,19,0.0,18,10.1038/nchem.2322
151,-0.3034348651037122,-0.0468522481278988,0.5840150772554941,CCCCCCN(CCCCCC)C(=O)c1ccccc1C(F)(F)F,0,0.0,17,10.1038/nchem.2322
152,-0.05687941554536378,0.059659883357165405,0.5816256543698379,CCCCCCN(CCCCCC)C(=O)c1ccccc1C(F)(F)F,1,0.0,17,10.1038/nchem.2322
153,-0.009188053169615814,-0.0290423304581988,0.5905540428113966,CCCCCCN(CCCCCC)C(=O)c1ccccc1C(F)(F)F,2,0.0,17,10.1038/nchem.2322
154,0.18679565729439981,0.38097879092764825,0.5672131666816346,CCCCCCN(CCCCCC)C(=O)c1ccccc1C(F)(F)F,3,0.0,17,10.1038/nchem.2322
155,0.15030288960480875,0.22928261432953514,0.5644705142775642,CCCCCCN(CCCCCC)C(=O)c1ccccc1C(F)(F)F,4,0.0,17,10.1038/nchem.2322
156,0.18786034490914885,0.293250240037279,0.5764007508448965,CCCCCCN(CCCCCC)C(=O)c1ccccc1C(F)(F)F,5,0.0,17,10.1038/nchem.2322
157,0.18274541584834356,0.18866007859686645,-0.3805329758229676,CCCCCCN(CCCCCC)C(=O)c1ccccc1C(F)(F)F,16,0.0,17,10.1038/nchem.2322
158,-0.03149667234174275,-0.1864841325459957,-0.37638704983721005,CCCCCCN(CCCCCC)C(=O)c1ccccc1C(F)(F)F,17,100.0,17,10.1038/nchem.2322
159,-0.04512356668302962,-0.18809169060445102,-0.37327911229976224,CCCCCCN(CCCCCC)C(=O)c1ccccc1C(F)(F)F,18,0.0,17,10.1038/nchem.2322
160,0.13076762482604048,0.0496925162786359,-0.38089464427185593,CCCCCCN(CCCCCC)C(=O)c1ccccc1C(F)(F)F,19,0.0,17,10.1038/nchem.2322
161,-0.33224416792707184,-0.1364089525831674,0.5847311807842931,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC(F)(F)F,0,0.0,18,10.1038/nchem.2322
162,-0.1079659689282842,-0.04568334550179807,0.5781343482765684,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC(F)(F)F,1,0.0,18,10.1038/nchem.2322
163,0.05221323811009435,0.14140699976820328,0.5619569185577897,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC(F)(F)F,2,0.0,18,10.1038/nchem.2322
164,0.05234240298536724,0.11395680490883925,0.5622064697875228,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC(F)(F)F,3,0.0,18,10.1038/nchem.2322
165,0.11349828100205898,0.3229013188000171,0.5720703739502061,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC(F)(F)F,4,0.0,18,10.1038/nchem.2322
166,0.22592154322705324,0.34230358104496933,0.5798209288098848,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC(F)(F)F,5,0.0,18,10.1038/nchem.2322
167,0.17656579917278925,0.1246163854731073,-0.3836360911144301,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC(F)(F)F,16,0.0,18,10.1038/nchem.2322
