,Bmax_2.0_avg,Bmax_2.0_min,Bmax_4.5_min,Bmin_2.0_avg,Bmin_3.0_avg,Bmin_3.0_min,Bmin_3.5_avg,Bmin_3.5_min,Bmin_4.0_avg,Bmin_4.0_min,S_bur_2.0_avg,V_occ_avg,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
100,-0.3278448749630409,-0.25094782364711626,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.04208075703021944,-0.09611850309237764,CCOC(=O)c1cccnc1C(=O)OCC,7,100.0,7,10.1021/jacs.7b04490
101,-0.3259340250279971,-0.24903697371207248,-0.08301052075935557,-0.019366539458056845,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.07476558451564937,-0.09614887586085047,CCOC(=O)c1cccnc1C(=O)OCC,8,0.0,7,10.1021/jacs.7b04490
102,-0.07570843802180871,-0.24903697371207248,-0.08301052075935557,-0.03129531794970594,-0.028845702013325456,-0.009767704315479712,-0.01739475542152925,-0.01011365936321278,-0.012000176548516204,-0.00853946175952523,0.022932421029926927,-0.09612746554864833,CCOC(=O)c1cccnc1C(=O)OCC,14,0.0,7,10.1021/jacs.7b04490
103,0.08785318082894548,-0.250643041202585,-0.08301052075935557,-0.0432246936566596,-0.0035685794862230233,-0.009767704315479712,0.004140972361425731,-0.01011365936321278,-0.00549296494803113,-0.00853946175952523,-0.3024826046438326,-0.0961885417006476,CCOC(=O)c1cccnc1C(=O)OCC,15,0.0,7,10.1021/jacs.7b04490
104,0.09799435669721547,-0.250643041202585,-0.08301052075935557,-0.0432246936566596,-0.012472673886670968,-0.009767704315479712,-0.009282326927563103,-0.01011365936321278,-0.018218408093785447,-0.00853946175952523,-0.3004483952907337,-0.20103866055277597,CCOC(=O)c1cccc2cc[nH]c12,0,0.0,11,10.1021/jacs.7b04490
105,-0.024962720975110552,-0.250643041202585,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.0024092972312862284,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,0.026348488799761902,-0.20095832906139344,CCOC(=O)c1cccc2cc[nH]c12,1,0.0,11,10.1021/jacs.7b04490
106,0.09547546178556242,0.17237251310148707,0.2457322166196157,-0.0432246936566596,-0.020319281474519987,-0.001135257903589292,-0.02467270233864211,-0.0029718585261491208,-0.016380030510381158,0.002930724271385313,0.06064308419102625,-0.20094339163427563,CCOC(=O)c1cccc2cc[nH]c12,6,0.0,11,10.1021/jacs.7b04490
107,-0.3278448749630409,-0.25094782364711626,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.02907853173974859,-0.20097724980240933,CCOC(=O)c1cccc2cc[nH]c12,7,0.0,11,10.1021/jacs.7b04490
108,-0.11930680675576961,-0.04240975543984496,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.02220413710232957,-0.20098671017291728,CCOC(=O)c1cccc2cc[nH]c12,8,0.0,11,10.1021/jacs.7b04490
109,-0.32876642188193833,-0.2518693705660137,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.06383449751852825,-0.20098969765834077,CCOC(=O)c1cccc2cc[nH]c12,10,0.0,11,10.1021/jacs.7b04490
110,-0.32633256207226335,-0.24943551075633874,-0.08301052075935557,-0.02220271493902419,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.1135238147062447,-0.2010270412261353,CCOC(=O)c1cccc2cc[nH]c12,11,100.0,11,10.1021/jacs.7b04490
111,0.14868151711677532,-0.24903697371207248,-0.08301052075935557,-0.035272174662226846,-0.007111783990035796,-0.009767704315479712,0.03089250341798974,-0.01011365936321278,0.0074479231496028435,-0.00853946175952523,-0.3196783363743909,0.3044634590681321,CCCCCCN(CCCCCC)C(=O)c1ccccc1,0,0.0,18,10.1038/nchem.2322
112,0.389741952035724,0.29791056210986416,0.5428209309621882,-0.0432246936566596,-0.0019774984103861125,-0.003061048108184577,-0.005403337319264766,0.010764811481573648,0.005779837384450743,0.014231908573575884,0.047902861283839575,0.3044395591847435,CCCCCCN(CCCCCC)C(=O)c1ccccc1,1,0.0,18,10.1038/nchem.2322
113,0.19252043199527832,-0.04484385523569673,-0.08301052075935557,-0.016926317723958577,-0.011785931140088048,-0.009767704315479712,-0.013306852000741623,-0.01011365936321278,-7.587900226649641e-05,-0.00853946175952523,0.11116479095573022,0.30448910364300796,CCCCCCN(CCCCCC)C(=O)c1ccccc1,2,0.0,18,10.1038/nchem.2322
114,0.19592015617116582,0.1058565844189792,0.3395444000229348,0.2854569296700924,-0.02187363463353662,-0.00958337175181568,-0.011501742766985843,0.00554548718865301,-0.0012369595812586759,0.009799160940890178,0.23619522062374884,0.3044323414199603,CCCCCCN(CCCCCC)C(=O)c1ccccc1,3,0.0,18,10.1038/nchem.2322
115,0.21168172830461093,0.15549796507545333,-0.08301052075935557,-0.022110743782134543,-0.028951727886410407,-0.009767704315479712,0.02356174121120262,-0.01011365936321278,0.006215887646338915,-0.00853946175952523,0.13174728464678487,0.30441790190707974,CCCCCCN(CCCCCC)C(=O)c1ccccc1,4,0.0,18,10.1038/nchem.2322
116,0.15504219074197448,0.15313386124783382,0.34895429094867075,-0.0432246936566596,-0.01937890820800836,-0.0006910580039327318,-0.025772434036970562,-0.009814372721725313,-0.02115723204816788,-0.007427404582757163,0.23527346542500985,0.3044706808162292,CCCCCCN(CCCCCC)C(=O)c1ccccc1,5,0.0,18,10.1038/nchem.2322
117,0.07860091375952867,0.15549796507545333,0.48150641775153946,-0.0432246936566596,-0.026262274203778413,-0.007078250632847721,-0.00015936589116280624,0.021541477921330182,0.006944788232039562,0.026255543013806035,0.11236992950915164,0.30443657169932004,CCCCCCN(CCCCCC)C(=O)c1ccccc1,16,0.0,18,10.1038/nchem.2322
118,-0.3278448749630409,-0.25094782364711626,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.03280145567105945,0.3044131697301688,CCCCCCN(CCCCCC)C(=O)c1ccccc1,17,48.888888888888886,18,10.1038/nchem.2322
119,-0.32603345930058303,-0.2491364079846584,-0.08301052075935557,-0.02220271493902419,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.03318935034030867,0.30444951746948873,CCCCCCN(CCCCCC)C(=O)c1ccccc1,18,51.111111111111114,18,10.1038/nchem.2322
120,0.34256666933200774,-0.250643041202585,-0.08301052075935557,-0.0432246936566596,-0.01983835365804315,-0.009767704315479712,-0.0058645908490866224,-0.01011365936321278,0.041871382137656614,-0.00853946175952523,-0.31964466587004436,0.39794884877066816,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,0,0.0,18,10.1038/nchem.2322
121,0.5576954779126335,0.6018660142758194,-0.08301052075935557,-0.0432246936566596,0.03549398548061097,0.04228753447141799,0.08260688772081616,0.07347299174837302,0.07541241988567633,0.06942193876167094,0.04650967879664525,0.3979505934621554,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,1,0.0,18,10.1038/nchem.2322
122,0.4930843195153572,0.5624536444283227,-0.08301052075935557,0.4017867071835029,0.0060756170871316345,0.020527283224747752,0.03850259982349849,0.04856999583040808,-0.008875579701495022,-0.00853946175952523,0.11170410232552935,0.3979627903693113,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,2,0.0,18,10.1038/nchem.2322
123,0.3643507745675461,0.399876288884002,-0.08301052075935557,0.46037054247629966,0.003840757997595904,0.011181760842893839,0.04031944578829299,0.03986134139967474,0.02677604452122603,-0.0008053750139050849,0.11253371619785761,0.39792494888727953,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,3,0.0,18,10.1038/nchem.2322
124,0.30466717234303436,0.3675086332609659,-0.08301052075935557,0.8347666084996458,0.008121985735627451,0.008747323639315845,-0.025835812384579677,-0.00613256019487754,0.009036023363757705,-0.00853946175952523,0.1359118272121655,0.39799316313778427,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,4,0.0,18,10.1038/nchem.2322
125,0.17392694298024558,0.19673918958092185,-0.08301052075935557,0.8987892835703263,-0.01625426336003422,-0.0001955776166403136,-0.016096672968646357,0.005110054467116343,0.0410986185078607,0.03707165365188431,0.21663279839502098,0.39788387295436256,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,5,0.0,18,10.1038/nchem.2322
126,0.09724144006521353,0.17413849138113818,0.5583763836997555,-0.02220271493902419,0.005697250245926517,0.024881273816857213,0.018193360434090183,0.039894204246583166,0.008463223611454894,0.027773978393221366,0.10043974974506444,0.3978985594327048,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,16,0.0,18,10.1038/nchem.2322
127,-0.3278448749630409,-0.25094782364711626,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.035652084242453565,0.3979812131960901,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,17,32.5,18,10.1038/nchem.2322
128,-0.3278448749630409,-0.25094782364711626,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.031039064236562237,0.39811116881201497,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,18,67.5,18,10.1038/nchem.2322
129,0.3083679991754088,0.38526505049133347,-0.08301052075935557,-0.0432246936566596,-0.02480424520396968,-0.005620221633038982,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,0.07938291226428185,0.39796030079812517,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,19,0.0,18,10.1038/nchem.2322
130,0.3374390446831875,0.18823471943840206,-0.08301052075935557,-0.02923671679516933,-0.020525789384188715,-0.009767704315479712,-0.012818603989530693,-0.01011365936321278,-0.02445599098203789,-0.00853946175952523,-0.3087011083157579,0.39796013349894144,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,22,0.0,18,10.1038/nchem.2322
131,0.2584121566319392,-0.04647824109507122,-0.08301052075935557,-0.0432246936566596,-0.027171463389970934,-0.009767704315479712,-0.013169532247588546,-0.01011365936321278,-0.01849706743274357,-0.00853946175952523,-0.27186754771322486,0.37736440898891394,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,0,0.0,18,10.1038/nchem.2322
132,-0.041008916714236045,-0.250643041202585,-0.08301052075935557,-0.03129531794970594,0.19581757921718448,-0.009767704315479712,0.3753373912500512,-0.01011365936321278,0.4196870025417126,-0.00853946175952523,0.10074628408571035,0.37732798158331604,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,1,0.0,18,10.1038/nchem.2322
133,0.19474558382653281,-0.04883362542493384,-0.08301052075935557,-0.0432246936566596,-0.022468211098287526,-0.009767704315479712,-0.031348554953468416,-0.01011365936321278,0.019832782658852785,-0.00853946175952523,0.1487220863774971,0.3774574392850035,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,2,0.0,18,10.1038/nchem.2322
134,0.18635814694289735,0.06707209840537356,-0.08301052075935557,-0.0432246936566596,-0.01911765491289054,-0.005024952188725434,-0.00947598298970205,-0.01011365936321278,0.04013621171682941,-0.00853946175952523,0.1397374723296758,0.377355613831827,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,3,0.0,18,10.1038/nchem.2322
135,0.29798995695064096,0.35385645962616724,0.5698345112018433,0.1425379323707,0.5118301193753502,0.009790950860661833,0.7194383928626781,0.0290083862081665,0.5914972561733146,0.002143769656735057,0.18810543341671018,0.3773742876073811,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,4,0.0,18,10.1038/nchem.2322
136,0.2013100857112243,0.2386617348423148,0.23512574585189164,0.17678763286722488,0.47068515082276274,-0.005087320349363641,0.3764371229483797,0.02158255647996572,-0.003044375015889843,-0.0016555440156338058,0.2567339466819135,0.37738698242877444,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,5,0.0,18,10.1038/nchem.2322
137,0.22827645244850026,0.3051735037644249,0.6124947170360712,-0.0432246936566596,-0.02417917763846232,-0.004995154067531624,-0.02373141650933643,-0.0020305726968434428,-0.017489507508084798,0.001821247273681673,0.07687456025947388,0.3774039115128411,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,16,0.0,18,10.1038/nchem.2322
138,-0.32603345930058303,-0.2491364079846584,-0.08301052075935557,-0.02220271493902419,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.032769414384665164,0.377359597145725,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,17,31.95876288659794,18,10.1038/nchem.2322
139,-0.3278448749630409,-0.25094782364711626,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.0338285267364404,0.37740839274097643,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,18,68.04123711340206,18,10.1038/nchem.2322
140,-0.07350864472990228,0.003388406586022379,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,0.017638649399418695,0.37739046782843505,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,19,0.0,18,10.1038/nchem.2322
141,0.23965579699825415,-0.250643041202585,-0.08301052075935557,-0.0432246936566596,-0.008359147202799929,-0.009767704315479712,0.00911265162942929,-0.01011365936321278,0.039538900263414535,-0.00853946175952523,-0.31764853194390374,0.36231146576806605,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,0,0.0,18,10.1038/nchem.2322
142,0.44018080675769206,0.48332828204919576,-0.08301052075935557,-0.0432246936566596,-0.01943919742995863,-0.003007688681860779,0.00831572759189992,0.026756107521835326,0.003576364463430023,-0.00853946175952523,0.08145885775628098,0.36234101000724805,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,1,0.0,18,10.1038/nchem.2322
143,0.36183483948540696,0.38821336066866724,-0.08301052075935557,0.2324469048139914,-0.020002589814390424,-0.0019876227656447803,-0.0035970544124051132,-0.005018744419302616,-0.004644086035834625,-0.007739606249552839,0.10803902568842425,0.36231686315839795,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,2,0.0,18,10.1038/nchem.2322
144,0.047192002912793504,0.08868901327107732,-0.08301052075935557,0.24195696132250355,0.4366993541318787,-0.0039023252972377183,0.7968221816202982,0.009309456832771852,0.8723045942025739,-0.00853946175952523,0.16834263749365716,0.3623604286625013,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,3,0.0,18,10.1038/nchem.2322
145,0.1505444498118521,0.1512741283684477,-0.08301052075935557,-0.03404011948908814,-0.021730187864068745,-0.003950140887060343,0.0004098655642153193,-0.00019377428928311042,0.019141294669586327,0.037650903851848196,0.18128299272954634,0.36231163306724984,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,4,0.0,18,10.1038/nchem.2322
146,0.12451682900281066,0.11478583009442828,-0.08301052075935557,-0.03129531794970594,-0.027475681417972853,-0.009767704315479712,-0.019919326267958816,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,0.17637659280943835,0.3623238339577196,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,5,0.0,18,10.1038/nchem.2322
147,0.19383083651597793,0.2707278878319026,-0.08301052075935557,-0.0432246936566596,-0.018604157056969307,0.0005798665139613869,-0.013860825705769401,0.007840018106723586,-0.027850216541291703,-0.00853946175952523,0.10887330596278867,0.3623350350364011,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,16,0.0,18,10.1038/nchem.2322
148,-0.3278448749630409,-0.25094782364711626,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.023180782866398048,0.3623260725801304,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,17,38.38383838383838,18,10.1038/nchem.2322
149,0.159521852713445,0.23641890402936966,-0.08301052075935557,-0.02220271493902419,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.029800335634001845,0.3623673994618228,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,18,61.61616161616162,18,10.1038/nchem.2322
150,0.13603880533697385,0.2129358566528985,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,0.026447167111783597,0.36237287651843286,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,19,0.0,18,10.1038/nchem.2322
151,0.20266008795109527,-0.250643041202585,-0.08301052075935557,-0.0432246936566596,-0.02890807017396366,-0.009767704315479712,-0.024977857345648936,-0.01011365936321278,-0.020335445016147858,-0.00853946175952523,-0.2766448572528693,0.4293546219866662,CCCCCCN(CCCCCC)C(=O)c1ccccc1C(F)(F)F,0,0.0,17,10.1038/nchem.2322
152,0.09264594476574271,-0.250643041202585,-0.08301052075935557,-0.0432246936566596,-0.019054593772689688,-0.009767704315479712,-0.02923124867408258,-0.01011365936321278,-0.020159992839766817,-0.00853946175952523,0.08067912611261437,0.42934657569259227,CCCCCCN(CCCCCC)C(=O)c1ccccc1C(F)(F)F,1,0.0,17,10.1038/nchem.2322
153,0.1512788075128485,-0.04792319786556125,-0.08301052075935557,-0.0432246936566596,-0.022518105626798086,-0.009767704315479712,0.014584315639682498,-0.01011365936321278,-0.01737597962925001,-0.00853946175952523,0.10242287004138893,0.4294212628281813,CCCCCCN(CCCCCC)C(=O)c1ccccc1C(F)(F)F,2,0.0,17,10.1038/nchem.2322
154,0.24067909805611318,0.24683862385350777,0.5812452629015993,0.1819332399306097,0.49886031388085383,-0.002763759875809127,0.39777567364988414,0.0069081216622488865,-0.018097139677757373,-0.0077447666076816924,0.202942660966464,0.4293470736068294,CCCCCCN(CCCCCC)C(=O)c1ccccc1C(F)(F)F,3,0.0,17,10.1038/nchem.2322
