,C_n_charge_avg,gas_charge_C,Buried_Volume_C_MMFF,Buried_Volume_H_max_MFF,S_bur_2.0_avg,L_cc1_min,Pyramidalization_H_max,num_O,Pyramidalization_H_max_MFF,gas_charge_H_max,dual_H_max,charge_C,Bmax_2.0_min,Buried_Volume_C,Bmin_3.0_avg,Bmax_2.0_avg,Bmin_2.0_avg,Local_Nucleophilicity_H_max,V_occ_avg,num_H,num_C,Pyramidalization_C_MFF,L_ch1_avg,bde_avg,n_Csp3,C_charge,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
44,-0.074426,-0.05277,0.524943,0.438356,57.736924,4.85,1.999913,0,1.997831,0.0628,0.035789,-0.03931,4.984476,0.49578,0.005552,4.984476,0.95,0.057963,140.5995,1,2,0.005151,2.15,110.66050720214844,0,-0.144728,COc1ccc(C(C)O)cc1,4,0.0,6,10.1016/S0040-4039(00)78488-7
45,-0.221109,0.07615,0.513197,0.443766,69.783468,2.9,1.637914,1,1.609337,0.06493,-0.045212,0.11938,5.148058,0.51256,0.0,5.148058,0.95,0.087127,140.595625,1,2,0.78944,2.35,82.55333709716797,1,0.074842,COc1ccc(C(C)O)cc1,6,97.0873786407767,6,10.1016/S0040-4039(00)78488-7
46,0.074842,-0.03469,0.313275,0.37235,40.135733,5.65,1.70878,0,1.690593,0.02603,-0.004126,-0.10842,0.986154,0.31637,0.000929,6.273027,0.95,0.047692,140.600125,3,1,0.813526,3.416667,101.62448120117188,1,-0.228026,COc1ccc(C(C)O)cc1,7,2.912621359223301,6,10.1016/S0040-4039(00)78488-7
47,0.054545,-0.03977,0.279707,0.313723,37.665229,8.45,1.695604,0,1.697303,0.02796,-0.006657,-0.10902,0.986154,0.27898,0.0,2.670917,0.95,0.092663,132.0155,3,1,0.800667,2.2,89.3666763305664,0,-0.209618,Cc1ccc(C(C)O)cc1,0,0.0,5,10.1016/S0040-4039(00)78488-7
48,-0.038919,-0.05896,0.475127,0.375716,53.78199,4.2,1.999607,0,1.999319,0.06256,0.026033,-0.04119,3.412477,0.48048,0.0,3.412477,0.9852,0.063826,132.004375,1,2,0.001618,2.15,110.8653793334961,0,-0.160768,Cc1ccc(C(C)O)cc1,2,0.0,5,10.1016/S0040-4039(00)78488-7
49,-0.055232,-0.05619,0.49109,0.386496,53.946991,4.2,1.998997,0,1.999491,0.06267,0.036139,-0.03571,4.430011,0.52805,0.0,4.430011,0.95,0.052709,132.010875,1,2,0.001209,2.8,110.72583770751952,0,-0.132383,Cc1ccc(C(C)O)cc1,3,0.0,5,10.1016/S0040-4039(00)78488-7
50,-0.220059,0.07614,0.514315,0.445944,69.824662,2.9,1.638777,1,1.596786,0.06493,-0.059034,0.11952,5.141255,0.51258,0.0,5.141255,0.95,0.103265,132.016,1,2,0.788067,2.35,82.55333709716797,1,0.05934,Cc1ccc(C(C)O)cc1,5,98.01980198019804,5,10.1016/S0040-4039(00)78488-7
51,0.05934,-0.03469,0.312867,0.375361,40.131686,5.6,1.70874,0,1.690844,0.02603,-0.004611,-0.10725,0.986154,0.31691,0.010752,5.690618,0.95,0.049941,132.013417,3,1,0.81373,3.15,101.62448120117188,1,-0.224176,Cc1ccc(C(C)O)cc1,6,1.98019801980198,5,10.1016/S0040-4039(00)78488-7
52,0.077396,-0.03469,0.31335,0.371721,40.080065,4.6,1.70871,0,1.69056,0.02603,-0.010951,-0.10745,3.262668,0.3171,0.014603,5.701121,0.963316,0.058079,116.823875,3,1,0.813551,3.15,101.62447357177734,1,-0.232249,CC(O)c1ccccc1,0,1.96078431372549,1,10.1016/S0040-4039(00)78488-7
53,-0.218208,0.07614,0.51354,0.443801,69.746536,2.9,1.639293,1,1.609404,0.06493,-0.080453,0.11915,3.623534,0.51265,0.0,3.623534,0.95,0.126697,116.82225,1,2,0.788829,2.35,82.36643981933594,1,0.077396,CC(O)c1ccccc1,1,98.03921568627452,1,10.1016/S0040-4039(00)78488-7
