,bde_avg,bde_max,bde_min,bdfe_max,bdfe_min,bfde_avg,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
796,97.03697967529297,97.03697967529297,97.03697967529297,88.11824798583984,88.11824798583984,88.11824798583984,CC(=O)O[C@H]1CCC[C@@H]2CCCC[C@@H]21,4,0.0,8,10.1021/jo9604189
797,99.27851104736328,99.27851104736328,99.27851104736328,90.04463195800781,90.04463195800781,90.04463195800781,CC(=O)O[C@H]1CCC[C@@H]2CCCC[C@@H]21,5,0.0,8,10.1021/jo9604189
798,97.7981185913086,97.7981185913086,97.7981185913086,88.83269500732422,88.83269500732422,88.83269500732422,CC(=O)O[C@H]1CCC[C@@H]2CCCC[C@@H]21,6,0.0,8,10.1021/jo9604189
799,97.32465362548828,97.32465362548828,97.32465362548828,88.32501983642578,88.32501983642578,88.32501983642578,CC(=O)O[C@H]1CCC[C@@H]2CCCC[C@@H]21,7,0.0,8,10.1021/jo9604189
800,94.9933853149414,94.9933853149414,94.9933853149414,86.04169464111328,86.04169464111328,86.04169464111328,CC(=O)O[C@H]1CCC[C@@H]2CCCC[C@@H]21,8,100.0,8,10.1021/jo9604189
801,97.5059585571289,97.5059585571289,97.5059585571289,88.50634765625,88.50634765625,88.50634765625,CC(=O)O[C@H]1CCC[C@@H]2CCCC[C@@H]21,9,0.0,8,10.1021/jo9604189
802,97.50910186767578,97.50910186767578,97.50910186767578,88.55692291259766,88.55692291259766,88.55692291259766,CC(=O)O[C@H]1CCC[C@@H]2CCCC[C@@H]21,10,0.0,8,10.1021/jo9604189
803,97.35320281982422,97.35320281982422,97.35320281982422,88.40863800048828,88.40863800048828,88.40863800048828,CC(=O)O[C@H]1CCC[C@@H]2CCCC[C@@H]21,11,0.0,8,10.1021/jo9604189
804,97.83934783935547,97.83934783935547,97.83934783935547,88.81375122070312,88.81375122070312,88.81375122070312,CC(=O)O[C@H]1CCC[C@@H]2CCCC[C@@H]21,12,0.0,8,10.1021/jo9604189
805,95.90961456298828,95.90961456298828,95.90961456298828,86.84628295898438,86.84628295898438,86.84628295898438,CC(=O)O[C@H]1CCC[C@@H]2CCCC[C@@H]21,13,0.0,8,10.1021/jo9604189
806,99.34044647216797,99.34044647216797,99.34044647216797,90.36918640136719,90.36918640136719,90.36917877197266,CCC(C)COC(=O)c1ccc(Cl)cc1,0,0.0,2,10.1021/jo9604189
807,97.66185760498047,97.66185760498047,97.66185760498047,88.27818298339844,88.27818298339844,88.27818298339844,CCC(C)COC(=O)c1ccc(Cl)cc1,1,30.0,2,10.1021/jo9604189
808,95.60749053955078,95.60749053955078,95.60749053955078,85.60442352294922,85.60442352294922,85.60442352294922,CCC(C)COC(=O)c1ccc(Cl)cc1,2,70.0,2,10.1021/jo9604189
809,100.60242462158203,100.60242462158203,100.60242462158203,91.50743865966797,91.50743865966797,91.50743865966797,CCC(C)COC(=O)c1ccc(Cl)cc1,3,0.0,2,10.1021/jo9604189
810,96.27342987060547,96.27342987060547,96.27342987060547,87.49744415283203,87.49744415283203,87.49744415283203,CCC(C)COC(=O)c1ccc(Cl)cc1,4,0.0,2,10.1021/jo9604189
811,111.87010192871094,111.87010192871094,111.87010192871094,103.39978790283203,103.39978790283203,103.39978790283203,CCC(C)COC(=O)c1ccc(Cl)cc1,9,0.0,2,10.1021/jo9604189
812,113.05463409423828,113.05463409423828,113.05463409423828,104.5910415649414,104.5910415649414,104.5910415649414,CCC(C)COC(=O)c1ccc(Cl)cc1,10,0.0,2,10.1021/jo9604189
813,97.25887298583984,97.25887298583984,97.25887298583984,89.55390167236328,89.55390167236328,89.55390167236328,CC(=O)O[C@H]1CC[C@@]2(CO2)[C@]2(C1)O[C@@H]2[C@@H]1O[C@@]12CCC[C@]1(C)[C@@H]([C@H](C)[C@H]3O[C@@H]3[C@H](C)C(C)C)CC[C@H]12,0,0.0,30,10.1021/ja9626300
814,93.04634857177734,93.04634857177734,93.04634857177734,84.22801971435547,84.22801971435547,84.22801971435547,CC(=O)O[C@H]1CC[C@@]2(CO2)[C@]2(C1)O[C@@H]2[C@@H]1O[C@@]12CCC[C@]1(C)[C@@H]([C@H](C)[C@H]3O[C@@H]3[C@H](C)C(C)C)CC[C@H]12,4,0.0,30,10.1021/ja9626300
815,98.5326156616211,98.5326156616211,98.5326156616211,89.06938934326172,89.06938934326172,89.06938934326172,CC(=O)O[C@H]1CC[C@@]2(CO2)[C@]2(C1)O[C@@H]2[C@@H]1O[C@@]12CCC[C@]1(C)[C@@H]([C@H](C)[C@H]3O[C@@H]3[C@H](C)C(C)C)CC[C@H]12,5,0.0,30,10.1021/ja9626300
816,95.70318603515625,95.70318603515625,95.70318603515625,86.92031860351562,86.92031860351562,86.92031860351562,CC(=O)O[C@H]1CC[C@@]2(CO2)[C@]2(C1)O[C@@H]2[C@@H]1O[C@@]12CCC[C@]1(C)[C@@H]([C@H](C)[C@H]3O[C@@H]3[C@H](C)C(C)C)CC[C@H]12,6,0.0,30,10.1021/ja9626300
817,102.90628051757812,102.90628051757812,102.90628051757812,94.38607025146484,94.38607025146484,94.38607025146484,CC(=O)O[C@H]1CC[C@@]2(CO2)[C@]2(C1)O[C@@H]2[C@@H]1O[C@@]12CCC[C@]1(C)[C@@H]([C@H](C)[C@H]3O[C@@H]3[C@H](C)C(C)C)CC[C@H]12,8,0.0,30,10.1021/ja9626300
818,97.75592803955078,97.75592803955078,97.75592803955078,88.65199279785156,88.65199279785156,88.65199279785156,CC(=O)O[C@H]1CC[C@@]2(CO2)[C@]2(C1)O[C@@H]2[C@@H]1O[C@@]12CCC[C@]1(C)[C@@H]([C@H](C)[C@H]3O[C@@H]3[C@H](C)C(C)C)CC[C@H]12,11,0.0,30,10.1021/ja9626300
